action_profile,audit_rate,backend_name,budget_hit,candidate_safe_count,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,pred_loss,quality_loss,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,safe,session_id,task,ttft_ms,turn_index
full_gpu,,measured_replay,False,,,,,,,,,,,True,,1.203125,,,536.1723862588406,short,True,True,,False,,6597.8291015625,False,full_lru,,0.0,full precision exact profile,,,,,session_064_turn_000,,,8155.28125,,,,session_064,chat,35.26591509580612,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,6.9453125,,,622.2979687154293,medium,True,True,,False,,6664.2333984375,False,full_lru,,0.0,full precision exact profile,,,,,session_064_turn_001,,,8170.40625,,,,session_064,chat,73.59303534030914,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,23.3515625,,,735.3078424930573,long,True,True,,False,,6856.4306640625,False,full_lru,,0.0,full precision exact profile,,,,,session_064_turn_002,,,8100.24609375,,,,session_064,chat,212.5231847167015,2
full_gpu,,measured_replay,False,,,,,,,,,,,True,,41.2890625,,,880.6179948151112,long,True,True,,False,,7068.2421875,False,full_lru,,0.0,full precision exact profile,,,,,session_064_turn_003,,,8100.24609375,,,,session_064,chat,317.321352660656,3
full_gpu,,measured_replay,False,,,,,,,,,,,True,,9.5703125,,,596.3568799197674,medium,True,True,,False,,6695.7841796875,False,full_lru,,0.0,full precision exact profile,,,,,session_065_turn_000,,,8170.40625,,,,session_065,chat,91.72475710511208,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,4.9765625,,,617.3693686723709,short,True,True,,False,,6641.1708984375,False,full_lru,,0.0,full precision exact profile,,,,,session_066_turn_000,,,8196.48828125,,,,session_066,chat,66.29613414406776,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,51.3515625,,,995.0802959501743,long,True,True,,False,,7184.4541015625,False,full_lru,,0.0,full precision exact profile,,,,,session_066_turn_001,,,8100.24609375,,,,session_066,chat,433.4800913929939,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,2.625,,,597.1152037382126,short,True,True,,False,,6614.0791015625,False,full_lru,,0.0,full precision exact profile,,,,,session_067_turn_000,,,8196.48828125,,,,session_067,chat,54.14606258273125,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,24.9375,,,736.4048026502132,long,True,True,,False,,6876.9658203125,False,full_lru,,0.0,full precision exact profile,,,,,session_067_turn_001,,,8100.24609375,,,,session_067,chat,211.2884260714054,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,3.7734375,,,607.5875721871853,short,True,True,,False,,6627.2041015625,False,full_lru,,0.0,full precision exact profile,,,,,session_068_turn_000,,,8196.48828125,,,,session_068,chat,57.721275836229324,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,1.3125,,,553.094670176506,short,True,True,,False,,6599.8583984375,False,full_lru,,0.0,full precision exact profile,,,,,session_069_turn_000,,,8170.40625,,,,session_069,chat,36.94222867488861,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,18.484375,,,668.2649627327919,medium,True,True,,False,,6799.9833984375,False,full_lru,,0.0,full precision exact profile,,,,,session_069_turn_001,,,8170.40625,,,,session_069,chat,159.86065194010735,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,2.2421875,,,578.316904604435,short,True,True,,False,,6609.7041015625,False,full_lru,,0.0,full precision exact profile,,,,,session_070_turn_000,,,8170.40625,,,,session_070,chat,51.805440336465836,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,5.46875,,,571.2228119373322,short,True,True,,False,,6646.9365234375,False,full_lru,,0.0,full precision exact profile,,,,,session_070_turn_001,,,8170.40625,,,,session_070,chat,63.98141384124756,1
